timestamp,title,score
1522447262.0,Baffled by Bitcoin? How Cryptocurrency Works,0.0
1532295303.0,What the Russia Hack Indictments Reveal About Bitcoin,0.0
1390943376.0,A Swipe at Traditional Banking at a Forum Illuminating Bitcoin,0.0
1401370196.0,Dish Network Says It Will Accept Bitcoin,0.3818
1395773987.0,I.R.S. Takes a Position on Bitcoin: It’s Property,0.0
1390582479.0,Bitcoin Is Not Yet Ready for the Real World,-0.2755
1394216879.0,Bitcoin’s Purported Founder Speaks Out,0.0
1393600374.0,Fortress Discloses a Paper Loss on Bitcoin,-0.3182
1431014390.0,Winner in Race Among Bitcoin Exchanges,0.5859
1394553607.0,Bitcoin Foundation Bolsters Its Ranks,0.0
1388105894.0,"Overstock to Embrace Bitcoin, Giving the Currency a Lift",0.5719
1449649518.0,Australian Police Raid Home of Man Said to Be Likely Creator of Bitcoin,0.0
1397004234.0,Bitcoin ATM unveiled on Capitol Hill,0.0
1393336321.0,Protests after bitcoin exchange disappears,-0.5106
1423761036.0,Larry Summers Likes the Idea of Bitcoin,0.4215
1554805917.0,"China, a Major Bitcoin Source, Considers Moving Against It",0.0
1506895210.0,"Understanding Ethereum, Bitcoin’s Virtual Cousin",0.0
1438405483.0,"Mark Karpeles, Chief of Bankrupt Bitcoin Exchange, Is Arrested in Tokyo",-0.7717
1393369325.0,Digital doubts after Bitcoin debacle,-0.296
1391646639.0,Apple Takes Down a Bitcoin App,0.0
1440784427.0,Bitcoin Technology Piques Interest on Wall St.,0.4588
1511821022.0,"As Bitcoin Scrapes $10,000, an Investment Boom Like No Other",0.0772
1510002343.0,Hedge Funds Push the Price of Bitcoin to New Highs,0.0
1392045428.0,Some Errors in Software at Exchange for Bitcoins,-0.34
1506894345.0,"What Is Bitcoin, and How Does It Work?",0.0
1393369369.0,Digital doubts after Bitcoin debacle,-0.296
1566148351.0,"Terrorists Turn to Bitcoin for Funding, and They’re Learning Fast",-0.6249
1396008446.0,"Bitcoin at a ‘Fork in the Road,’ Analyst Says",0.0
1396440403.0,How to Explain Bitcoin to Your Mom!,0.0
1386243160.0,China Restricts Banks’ Use of Bitcoin,-0.3182
1513114430.0,I Was Wrong About Bitcoin. Here’s Why.,-0.4767
1394214711.0,Alleged Bitcoin founder denies involvement,-0.4215
1399667384.0,Colorado Lawmaker to Accept Donations in Bitcoin,0.3818
1394218788.0,Bitcoin's Purported Founder Speaks Out,0.0
1446686844.0,"Bitcoin Surges, Emerging From a Lull in Interest",0.4588
1449676925.0,Likely Bitcoin Creator’s Home Searched,0.0
1414673752.0,UK charity cashes in on Bitcoin trend,0.4215
1390851285.0,Bitcoin Figure Is Accused of Conspiring to Launder Money,-0.296
1406756883.0,Wikipedia Begins Taking Donations in Bitcoin,0.0
1425257345.0,Data Security Is Becoming the Sparkle in Bitcoin,0.6369
1393335123.0,Protests after bitcoin exchange disappears,-0.5106
1437838345.0,"For Ransom, Bitcoin Replaces the Bag of Bills ",0.0
1462206036.0,Australian Says He Created Bitcoin,0.25
1365709364.0,Bitcoin Has Real-World Investors,0.0
1397004181.0,Bitcoin ATM unveiled on Capitol Hill,0.0
1420838913.0,Bitcoin Exchange Bitstamp Resumes Services,0.0
1394214112.0,Alleged Bitcoin founder denies involvement,-0.4215
1395102537.0,Letter From Nakamoto on Bitcoin Claim,0.0
1501019786.0,Some Bitcoin Backers Are Defecting to Create a Rival Currency,-0.1779
1512692394.0,Bitcoin’s Price Has Soared. What Comes Next?,0.0
1505401934.0,China Bitcoin Exchange to Stop Trading Virtual Currencies Amid Crackdown,-0.296
1462176123.0,"He’s Bitcoin’s Creator, He Says, but Skeptics Pounce on His Claim",-0.1531
1512741610.0,Farhad and Mike’s Week in Tech: The Big Bitcoin Boom,0.0
1548201492.0,"Despite Bitcoin’s Dive, a Former Soviet Republic Is Still Betting Big on It",0.0
1516942801.0,Are Bitcoins More Real Than Boyfriends?,0.0
1412537928.0,Price of Bitcoin Tumbles,0.0
1391727681.0,Legal Troubles Barely Subdue a Bitcoin Evangelist’s Sermons,-0.3612
1479504254.0,Bitcoin Users Who Evade Taxes Are Sought by the I.R.S.,0.0
1473442615.0,Downside of Bitcoin: A Ledger That Can’t Be Corrected,-0.25
1459155806.0,Morning Agenda: Ethereum Challenges Bitcoin,0.0772
1494866976.0,What Is Bitcoin? All About the Mysterious Digital Currency,0.0
1489184733.0,S.E.C. Rejects Winklevoss Brothers’ Bid to Create Bitcoin E.T.F.,-0.2732
1512593837.0,"Bitcoin Hasn’t Replaced Cash, but Investors Don’t Care",0.6486
1483491891.0,"Bitcoin Price Soars, Fueled by Speculation and Global Currency Turmoil",-0.3612
1554192010.0,"Amid Bitcoin Uncertainty, ‘the Smart Money Knows That Crypto Is Not Ready’",0.0772
1513339227.0,What Is Bitcoin Really Worth? Don’t Even Ask.,0.2944
1384825221.0,"Regulators See Value in Bitcoin, and Investors Hasten to Agree",0.5994
1541149209.0,Bitcoin’s ‘First Felon’ Faces More Legal Trouble,-0.2927
1497895894.0,"Move Over, Bitcoin. Ether Is the Digital Currency of the Moment.",0.0
1525735274.0,Bitcoin Sees Wall Street Warm to Trading Virtual Currency,0.2263
1513030675.0,Bitcoin Futures Set Scene for More Gambling,0.0
1506892952.0,Bitcoin Bug Bites Japan and South Korea as China Clamps Down,0.0
1410382944.0,Coinbase Extends Bitcoin Access to International Customers,0.128
1412288864.0,Financial Wild West,0.0
1502736108.0,Bitcoin Price Surges After Agreement on Software Update,0.4939
1404246389.0,Single Winner of All Bitcoins in U.S. Auction,0.5859
1410205257.0,"Braintree, Popular Payments Processor, to Accept Bitcoin",0.6597
1420566383.0,Jitters After Bitcoin Exchange Suspends Services,0.0
1431692462.0,Daily Report: Unearthing the Enigma of Bitcoin’s Birth,0.0
1430301801.0,Can Bitcoin Conquer Argentina?,0.0
1402678420.0,King’s College in New York to Accept Bitcoin,0.3818
1394479851.0,Morgan Stanley Chief Calls Bitcoin ‘Surreal’,0.0
1365711613.0,TimesCast: Bitcoin Has Real-World Investors,0.0
1376424061.0,New York and U.S. Open Investigations Into Bitcoins,0.0
1483966802.0,Wall Street Clearinghouse to Adopt Bitcoin Technology,0.1779
1384820681.0,Researchers Work to Add More Anonymity to Bitcoin,0.0
1439241820.0,Man Charged in Bitcoin Scheme Appears in New York Court,-0.2023
1516219937.0,"Bitcoin Falls Below $10,000 as Virtual Currency Bubble Deflates",0.0
